,0
ArrivedCars_OPT,12.0
ServedCars._OPT,8.0
TotalEnergyLoaded(MWh)_OPT,0.1296
CarsNotServed_OPT,4.0
F1_LoadFactorCars(%)_OPT,66.67
F2_LoadFactorEnergy(%)_OPT,4292922.97
F3_LoadFactorTime(%)_OPT,44.21
MaxDiversityFactorOPT,612021.37
TrafoPeakLoad(%)_OPT,76.24
CO2Emissions(kge)_OPT,76.41
EnergyCosts(Euro)_OPT,31.71
SpecificEnergyCosts(Euro_per_kWh)_OPT,24.46
Satisfaction(%)_OPT,62.5
final_soc_OPT_ev1030_3767484,0.9281113075134689
final_soc_OPT_ev2220_79511841,0.9281469647693392
final_soc_OPT_ev4021_52083834,0.9281341476390045
final_soc_OPT_ev5283_95993640,0.9281409037781359
final_soc_OPT_ev6495_74798749,0.5967144492441223
final_soc_OPT_ev6958_49625372,0.803335106162204
final_soc_OPT_ev7883_63638887,0.40004890049302866
final_soc_OPT_ev8288_69436218,0.9281071073378264
